Error,Ntotal,Nworkers,Time
1.7815159546562175E-4,12000000,1,972
1.0366708209866392E-4,12000000,2,967
1.7709056251166884E-4,12000000,3,952
1.611750682025164E-4,12000000,4,904
7.267659484720878E-5,12000000,5,864
6.578820564272845E-5,12000000,6,968
9.942295028285224E-5,12000000,8,829
1.105554713030029E-4,12000000,10,990
7.23582849609805E-5,12000000,12,902
8.891872403887382E-5,12000000,1,981
4.064172463422801E-5,12000000,2,900
2.0233482181929437E-4,12000000,3,1002
3.5752648049816805E-5,12000000,4,972
9.019196358350425E-5,12000000,5,1074
1.3899115446877153E-4,12000000,6,1135
2.475431506537752E-4,12000000,8,962
3.5491968559299083E-4,12000000,10,883
1.6839009228936797E-4,12000000,12,1001
2.1283904806341416E-4,12000000,1,799
1.271075853846119E-4,12000000,2,924
9.82558140334899E-5,12000000,3,898
4.986438633729169E-5,12000000,4,1042
4.79545270202047E-5,12000000,5,857
4.255158395131499E-5,12000000,6,1038
3.1872613599302388E-6,12000000,8,1001
1.0826698628419534E-5,12000000,10,949
3.5777614957247834E-4,12000000,12,1076
